phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap,branch,branch_label
meg,alpha,Astro,0.0025285444118287,0.0179836806218072,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Chandelier,0.0196631220220032,0.1398493555490198,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Endo,0.0022167001206349,0.0157657610510344,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,L2/3 IT,0.0011643840747311,0.008281409344888,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,L4 IT,0.0038454406360988,0.0273497969528264,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,L5 ET,0.0074016584720009,0.0526425643977069,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,L5 IT,0.0017799898470458,0.0126597613906178,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,L5/6 NP,0.0025803598892975,0.0183522060840081,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,L6 CT,0.0030101527721008,0.0214090074206595,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,L6 IT,0.0021790152466805,0.0154977362007292,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,L6 IT Car3,0.0054791980686468,0.0389695145037619,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,L6b,0.0029172272291935,0.0207480962349845,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Lamp5,0.0077546565706249,0.0551531807966366,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Lamp5_Lhx6,0.0063200494267837,0.0449498730865126,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Micro-PVM,0.0085991732776507,0.0611596083159176,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,OPC,0.0102685955431013,0.0730329836477289,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Oligo,0.0069283253149643,0.0492760930460321,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Pax6,0.0018794383659444,0.0133670657170982,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Pvalb,0.0101478372083641,0.0721741182411434,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Sncg,0.0103023160792396,0.0732728130727016,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Sst,0.0047355153657495,0.0336802452505494,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,VLMC,0.0056165817226994,0.0399466236047851,0.1406021639843094,ratio_none_subclass,Ratio · subclass
meg,alpha,Vip,0.0132838823189236,0.0944785054688498,0.1406021639843094,ratio_none_subclass,Ratio · subclass
enigma,adhd,Astro,0.0026625325228583,0.0299379737057149,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Chandelier,0.0105185216775111,0.1182720671769531,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Endo,0.0038898401085437,0.0437380313251536,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L2/3 IT,0.0026650513232401,0.0299662955305018,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L4 IT,0.0027356670802199,0.0307603112495666,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L5 ET,0.00183512571918,0.0206344692715763,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L5 IT,0.0022916962419832,0.0257682267709263,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L5/6 NP,0.0070656037166231,0.0794468636410049,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L6 CT,0.0064239784714627,0.0722323190096727,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L6 IT,0.0041457962833776,0.0466160465855147,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L6 IT Car3,0.0027213036722601,0.0305988066196197,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L6b,0.0028939255230421,0.0325397964048616,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Lamp5,0.0023724443314269,0.026676172179217,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Lamp5_Lhx6,0.005859257496033,0.0658824992165494,0.0889349609639767,ratio_none_subclass,Ratio · subclass
